2014-07-16T14:05:54.429+0000: 164.616: [GC [PSYoungGen: 707072K->484K(681408K)] 778393K->71869K(1368384K), 0.0059810 secs] [Times: user=0.01 sys=0.01, real=0.01 secs] 
2014-07-16T14:05:55.949+0000: 166.137: [GC [PSYoungGen: 681380K->352K(667072K)] 752765K->71833K(1354048K), 0.0135930 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2014-07-16T14:05:57.338+0000: 167.525: [GC [PSYoungGen: 656558K->274K(633024K)] 728040K->71931K(1320000K), 0.0169340 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
2014-07-16T14:05:58.687+0000: 168.874: [GC [PSYoungGen: 632978K->420K(619520K)] 704635K->72125K(1306496K), 0.0036850 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-16T14:05:59.982+0000: 170.169: [GC [PSYoungGen: 610660K->210K(589056K)] 682365K->71947K(1276032K), 0.0098800 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-16T14:06:01.237+0000: 171.424: [GC [PSYoungGen: 589001K->480K(576384K)] 660739K->72249K(1263360K), 0.0041290 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-16T14:06:02.480+0000: 172.667: [GC [PSYoungGen: 568864K->384K(549248K)] 640633K->72209K(1236224K), 0.0057250 secs] [Times: user=0.01 sys=0.01, real=0.01 secs] 
2014-07-16T14:06:03.660+0000: 173.847: [GC [PSYoungGen: 549248K->548K(537088K)] 621073K->72485K(1224064K), 0.0070660 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
2014-07-16T14:06:04.837+0000: 175.024: [GC [PSYoungGen: 530788K->402K(512896K)] 602725K->72419K(1199872K), 0.0104720 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2014-07-16T14:06:05.905+0000: 176.093: [GC [PSYoungGen: 512850K->480K(501248K)] 584867K->72577K(1188224K), 0.0051300 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-16T14:06:06.956+0000: 177.143: [GC [PSYoungGen: 495904K->288K(479488K)] 568001K->72457K(1166464K), 0.0084420 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2014-07-16T14:06:07.974+0000: 178.161: [GC [PSYoungGen: 479456K->288K(468608K)] 551625K->72497K(1155584K), 0.0057690 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-16T14:06:08.961+0000: 179.148: [GC [PSYoungGen: 463904K->192K(448960K)] 536113K->72441K(1135936K), 0.0046050 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
2014-07-16T14:06:09.938+0000: 180.125: [GC [PSYoungGen: 448960K->790K(438912K)] 521209K->73087K(1125888K), 0.0065020 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-16T14:06:10.847+0000: 181.035: [GC [PSYoungGen: 435350K->320K(421248K)] 507647K->72681K(1108224K), 0.0044200 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-16T14:06:11.752+0000: 181.939: [GC [PSYoungGen: 421248K->694K(411648K)] 493609K->73119K(1098624K), 0.0086680 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-16T14:06:12.615+0000: 182.802: [GC [PSYoungGen: 408630K->320K(395776K)] 481055K->72809K(1082752K), 0.0115030 secs] [Times: user=0.03 sys=0.01, real=0.02 secs] 
2014-07-16T14:06:13.453+0000: 183.640: [GC [PSYoungGen: 395730K->128K(383616K)] 468220K->72649K(1070592K), 0.0035950 secs] [Times: user=0.01 sys=0.01, real=0.01 secs] 
2014-07-16T14:06:14.276+0000: 184.463: [GC [PSYoungGen: 383615K->416K(372480K)] 456137K->73001K(1059456K), 0.0051430 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-16T14:06:15.080+0000: 185.268: [GC [PSYoungGen: 372387K->730K(361856K)] 444972K->73363K(1048832K), 0.0066630 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-16T14:06:15.833+0000: 186.020: [GC [PSYoungGen: 361818K->288K(350912K)] 434451K->72985K(1037888K), 0.0147540 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
2014-07-16T14:06:16.570+0000: 186.758: [GC [PSYoungGen: 350879K->320K(421056K)] 423576K->73097K(1108032K), 0.0120400 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2014-07-16T14:06:17.476+0000: 187.664: [GC [PSYoungGen: 421056K->434K(505344K)] 493833K->73259K(1192320K), 0.0072460 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-16T14:06:18.551+0000: 188.738: [GC [PSYoungGen: 505330K->402K(488640K)] 578155K->73283K(1175616K), 0.0048170 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-16T14:06:19.587+0000: 189.774: [GC [PSYoungGen: 488594K->466K(472768K)] 561475K->73395K(1159744K), 0.0044660 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-16T14:06:20.609+0000: 190.796: [GC [PSYoungGen: 472722K->530K(457600K)] 545651K->73515K(1144576K), 0.0135120 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2014-07-16T14:06:21.582+0000: 191.770: [GC [PSYoungGen: 457493K->324K(442816K)] 530478K->73381K(1129792K), 0.0080530 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-16T14:06:22.549+0000: 192.737: [GC [PSYoungGen: 442756K->544K(429056K)] 515813K->73673K(1116032K), 0.0081700 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-16T14:06:23.472+0000: 193.659: [GC [PSYoungGen: 429024K->470K(415616K)] 502153K->73687K(1102592K), 0.0069460 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-16T14:06:24.353+0000: 194.540: [GC [PSYoungGen: 415574K->224K(402560K)] 488791K->73497K(1089536K), 0.0072670 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
