2014-07-08T22:29:10.478+0000: 431.287: [GC [PSYoungGen: 794096K->1810K(764352K)] 894641K->102899K(1451328K), 0.0494650 secs] [Times: user=0.18 sys=0.00, real=0.05 secs] 
2014-07-08T22:29:17.415+0000: 438.223: [GC [PSYoungGen: 764306K->1892K(735936K)] 865395K->103605K(1422912K), 0.0435380 secs] [Times: user=0.16 sys=0.00, real=0.04 secs] 
2014-07-08T22:29:23.177+0000: 443.986: [GC [PSYoungGen: 735908K->1650K(708544K)] 837621K->103899K(1395520K), 0.0180570 secs] [Times: user=0.06 sys=0.01, real=0.02 secs] 
2014-07-08T22:29:28.342+0000: 449.151: [GC [PSYoungGen: 708530K->1682K(682752K)] 810779K->104443K(1369728K), 0.0244080 secs] [Times: user=0.09 sys=0.00, real=0.03 secs] 
2014-07-08T22:29:33.139+0000: 453.948: [GC [PSYoungGen: 682606K->1668K(658112K)] 785367K->104901K(1345088K), 0.0418610 secs] [Times: user=0.16 sys=0.00, real=0.04 secs] 
2014-07-08T22:29:36.121+0000: 456.930: [GC [PSYoungGen: 658052K->1604K(634496K)] 761285K->105237K(1321472K), 0.0064900 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-08T22:29:40.313+0000: 461.121: [GC [PSYoungGen: 634436K->1618K(612032K)] 738069K->105635K(1299008K), 0.0093020 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-08T22:29:44.634+0000: 465.443: [GC [PSYoungGen: 611986K->1604K(590592K)] 716003K->105989K(1277568K), 0.0391100 secs] [Times: user=0.15 sys=0.00, real=0.04 secs] 
2014-07-08T22:29:48.422+0000: 469.231: [GC [PSYoungGen: 590532K->1654K(570112K)] 694917K->106375K(1257088K), 0.0069770 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
2014-07-08T22:29:51.170+0000: 471.979: [GC [PSYoungGen: 570102K->1490K(550464K)] 674823K->106651K(1237440K), 0.0141350 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-08T22:29:54.166+0000: 474.975: [GC [PSYoungGen: 550417K->1362K(531712K)] 655579K->106787K(1218688K), 0.0089680 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-08T22:29:57.636+0000: 478.445: [GC [PSYoungGen: 531637K->1768K(514304K)] 637063K->107457K(1201280K), 0.0372990 secs] [Times: user=0.14 sys=0.00, real=0.04 secs] 
2014-07-08T22:30:00.839+0000: 481.648: [GC [PSYoungGen: 514280K->1458K(496960K)] 619969K->107515K(1183936K), 0.0072380 secs] [Times: user=0.02 sys=0.01, real=0.00 secs] 
2014-07-08T22:30:04.119+0000: 484.928: [GC [PSYoungGen: 496945K->1412K(480704K)] 603002K->107789K(1167680K), 0.0056140 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
