2014-07-08T08:06:26.783+0000: 192.332: [GC [PSYoungGen: 444082K->288K(430080K)] 519814K->76084K(1117056K), 0.0077210 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
2014-07-08T08:06:27.548+0000: 193.097: [GC [PSYoungGen: 430048K->128K(416512K)] 505844K->75988K(1103488K), 0.0035980 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-08T08:06:28.264+0000: 193.814: [GC [PSYoungGen: 416512K->548K(404160K)] 492372K->76440K(1091136K), 0.0042650 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-08T08:06:28.986+0000: 194.536: [GC [PSYoungGen: 404132K->1074K(485440K)] 480024K->76990K(1172416K), 0.0158080 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2014-07-08T08:06:29.958+0000: 195.507: [GC [PSYoungGen: 485426K->288K(581568K)] 561342K->76228K(1268544K), 0.0109830 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2014-07-08T08:06:31.033+0000: 196.582: [GC [PSYoungGen: 581536K->256K(561408K)] 657476K->76300K(1248384K), 0.0039720 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-08T08:06:32.036+0000: 197.585: [GC [PSYoungGen: 561392K->484K(673920K)] 637437K->76648K(1360896K), 0.0154520 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2014-07-08T08:06:33.274+0000: 198.823: [GC [PSYoungGen: 673892K->530K(649664K)] 750056K->76774K(1336640K), 0.0053430 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-08T08:06:34.572+0000: 200.121: [GC [PSYoungGen: 649618K->626K(626560K)] 725862K->76950K(1313536K), 0.0048430 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-08T08:06:35.765+0000: 201.314: [GC [PSYoungGen: 626546K->192K(603968K)] 702870K->76628K(1290944K), 0.0061700 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-08T08:06:36.835+0000: 202.385: [GC [PSYoungGen: 603968K->288K(582976K)] 680404K->76788K(1269952K), 0.0041330 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-08T08:06:37.857+0000: 203.406: [GC [PSYoungGen: 582944K->242K(562752K)] 659444K->76790K(1249728K), 0.0106300 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2014-07-08T08:06:38.865+0000: 204.415: [GC [PSYoungGen: 562738K->192K(543424K)] 639286K->76756K(1230400K), 0.0055480 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-08T08:06:39.910+0000: 205.459: [GC [PSYoungGen: 543424K->320K(525184K)] 619988K->76940K(1212160K), 0.0037430 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-08T08:06:40.830+0000: 206.379: [GC [PSYoungGen: 525184K->338K(507648K)] 601804K->77054K(1194624K), 0.0033670 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-08T08:06:41.849+0000: 207.398: [GC [PSYoungGen: 507602K->288K(490816K)] 584318K->77076K(1177792K), 0.0053250 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-08T08:06:42.707+0000: 208.257: [GC [PSYoungGen: 490784K->324K(474816K)] 567572K->77224K(1161792K), 0.0062040 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
2014-07-08T08:06:43.566+0000: 209.116: [GC [PSYoungGen: 474756K->224K(459328K)] 551656K->77172K(1146304K), 0.0033590 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-08T08:06:44.454+0000: 210.004: [GC [PSYoungGen: 459281K->790K(445248K)] 536230K->77802K(1132224K), 0.0041870 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-08T08:06:45.233+0000: 210.782: [GC [PSYoungGen: 445203K->480K(430912K)] 522216K->77564K(1117888K), 0.0038720 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-08T08:06:45.915+0000: 211.464: [GC [PSYoungGen: 430880K->192K(417152K)] 507964K->77316K(1104128K), 0.0052660 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2014-07-08T08:06:46.705+0000: 212.254: [GC [PSYoungGen: 417077K->242K(404352K)] 494202K->77382K(1091328K), 0.0036950 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-08T08:06:47.502+0000: 213.052: [GC [PSYoungGen: 404282K->676K(392512K)] 481423K->77864K(1079488K), 0.0044850 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-08T08:06:48.263+0000: 213.812: [GC [PSYoungGen: 392484K->256K(380288K)] 469672K->77484K(1067264K), 0.0065680 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-08T08:06:48.884+0000: 214.433: [GC [PSYoungGen: 380288K->160K(368960K)] 457516K->77412K(1055936K), 0.0053790 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-08T08:06:49.688+0000: 215.238: [GC [PSYoungGen: 368928K->470K(358464K)] 446180K->77746K(1045440K), 0.0082430 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-08T08:06:50.274+0000: 215.823: [GC [PSYoungGen: 358415K->288K(347904K)] 435691K->77636K(1034880K), 0.0066990 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-08T08:06:50.871+0000: 216.420: [GC [PSYoungGen: 347872K->256K(337920K)] 425220K->77652K(1024896K), 0.0035640 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-08T08:06:51.540+0000: 217.089: [GC [PSYoungGen: 337920K->338K(328512K)] 415316K->77782K(1015488K), 0.0074750 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-08T08:06:52.052+0000: 217.601: [GC [PSYoungGen: 328466K->480K(319488K)] 405910K->77980K(1006464K), 0.0068360 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-08T08:06:52.663+0000: 218.213: [GC [PSYoungGen: 319435K->306K(310528K)] 396936K->77830K(997504K), 0.0031300 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-08T08:06:53.170+0000: 218.719: [GC [PSYoungGen: 310514K->580K(302400K)] 388038K->78152K(989376K), 0.0049040 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-08T08:06:53.727+0000: 219.277: [GC [PSYoungGen: 302340K->192K(293824K)] 379912K->77788K(980800K), 0.0062900 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-08T08:06:54.273+0000: 219.822: [GC [PSYoungGen: 293815K->822K(286656K)] 371412K->78474K(973632K), 0.0045080 secs] [Times: user=0.01 sys=0.01, real=0.01 secs] 
2014-07-08T08:06:54.923+0000: 220.473: [GC [PSYoungGen: 286646K->516K(278912K)] 364298K->78232K(965888K), 0.0047580 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-08T08:06:55.476+0000: 221.025: [GC [PSYoungGen: 278852K->192K(271360K)] 356568K->77996K(958336K), 0.0076670 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-08T08:06:55.894+0000: 221.443: [GC [PSYoungGen: 271357K->356K(264640K)] 349161K->78192K(951616K), 0.0036260 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-08T08:06:56.416+0000: 221.966: [GC [PSYoungGen: 264612K->576K(258176K)] 342448K->78428K(945152K), 0.0041910 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-08T08:06:56.825+0000: 222.374: [GC [PSYoungGen: 258176K->160K(251392K)] 336028K->78036K(938368K), 0.0035810 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-08T08:06:57.284+0000: 222.834: [GC [PSYoungGen: 251345K->388K(301888K)] 329221K->78280K(988864K), 0.0116850 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2014-07-08T08:06:57.799+0000: 223.349: [GC [PSYoungGen: 301828K->292K(362048K)] 379720K->78208K(1049024K), 0.0116020 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2014-07-08T08:06:58.501+0000: 224.050: [GC [PSYoungGen: 362020K->384K(434496K)] 439936K->78316K(1121472K), 0.0039220 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-08T08:06:59.210+0000: 224.760: [GC [PSYoungGen: 434496K->352K(521344K)] 512428K->78332K(1208320K), 0.0062970 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-08T08:07:00.174+0000: 225.723: [GC [PSYoungGen: 521312K->512K(625664K)] 599292K->78524K(1312640K), 0.0135170 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2014-07-08T08:07:01.580+0000: 227.129: [GC [PSYoungGen: 625664K->384K(603456K)] 703676K->78500K(1290432K), 0.0035800 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-08T08:07:02.632+0000: 228.182: [GC [PSYoungGen: 603456K->224K(582208K)] 681572K->78524K(1269184K), 0.0040810 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
